scenario_id,category,runs,avg_total_score,avg_tool_score,avg_parameter_score,avg_fact_score,avg_duration_s,avg_tool_input_events,avg_answer_chars,pass_rate
S01_data_coverage,data_query,10,74.5,17.5,15.0,15.0,71.36,1.5,743.7,0.5
S02_period_state_distribution,state_query,10,62.1,12.5,8.0,15.6,60.49,1.6,488.3,0.5
S03_period_utilization,state_query,10,56.5,15.0,8.0,8.0,121.28,4.6,369.2,0.3
S04_last_week_runtime,state_query,10,60.0,12.5,12.0,10.5,100.474,2.3,271.7,0.3
S05_this_week_status,state_query,10,63.25,15.0,12.0,11.25,80.631,1.7,548.6,0.5
S06_next_week_power,forecast,10,61.0,20.0,13.0,3.0,109.257,2.5,224.9,0.1
S07_next_month_cost,forecast,10,56.0,20.0,10.0,0.0,109.394,2.5,240.7,0.0
S08_period_anomaly,anomaly,10,65.0,17.5,12.0,20.0,68.253,1.8,420.3,0.5
