cnc_tool_name,runs,success_rate,avg_runtime_s,median_runtime_s,avg_loop_count,avg_tool_call_count,avg_estimated_total_text_tokens,success_rate_pct
data_status,9,1.0,11.04577777777778,10.086,2.0,1.0,285.44444444444446,100.0
update_data,9,1.0,11.315222222222223,10.095,2.0,1.0,291.6666666666667,100.0
run_state_analysis,9,1.0,14.14488888888889,13.378,2.0,1.0,379.1111111111111,100.0
train_forecast,9,1.0,9.01811111111111,8.763,2.0,1.0,371.22222222222223,100.0
forecast_future,9,1.0,14.895333333333333,10.382,2.0,1.0,335.22222222222223,100.0
train_anomaly_detection,9,1.0,22.205,15.674,2.0,1.0,369.3333333333333,100.0
check_anomaly,9,1.0,9.683666666666666,8.172,2.0,1.0,378.55555555555554,100.0
run_all,9,1.0,95.59933333333333,94.874,2.0,1.0,357.3333333333333,100.0
