time,IA,IB,IC,Power,PF,kVAh,I_mean,I_imbalance,dI_dt,kVAh_rate,PF_abs,cluster,state,Vab,Vbc,Vca,V_mean,V_imbalance,V_deviation,P_error
2025-09-15 15:20:00,7.71,10.033,6.458,1.751,0.76475,0.12075,8.067,22.487176369645915,0.0,0.0812499999999999,0.76475,1,Running_High,213.0385,213.41375,207.13075,211.19433333333333,1.6686832562122427,4.002575757575758,28.880818369379657
2025-09-15 15:25:00,7.538,9.837,6.243,2.16575,0.7525,0.349,7.872666666666667,23.120788450767733,-0.1943333333333328,0.2282499999999999,0.7525,3,Running_Low,212.82725,213.12025,206.81425000000002,210.92058333333333,1.6874622850670757,4.127007575757579,0.06913748545195507
2025-09-15 15:45:00,7.855,10.16,6.361,1.25825,0.76425,0.63825,8.125333333333334,23.554395187374418,7.139333333333334,0.0819999999999999,0.76425,1,Running_High,212.4685,213.02325,206.76175,210.75116666666668,1.644618482426726,4.204015151515147,80.15250679157907
2025-09-15 15:50:00,7.732,9.874,6.273,2.2135,0.758,0.8674999999999999,7.959666666666667,22.7555155643985,-0.1656666666666666,0.2292499999999999,0.758,3,Running_Low,212.92575,213.08325,207.2495,211.08616666666668,1.574515254025579,4.051742424242416,0.34365368469916024
2025-09-15 16:05:00,7.584,9.839,6.234,2.174,0.75525,1.602,7.885666666666668,23.096769048200887,0.0216666666666682,0.2519999999999998,0.75525,3,Running_Low,212.85175,213.11875,207.13225,211.03425000000001,1.6025205031074945,4.075340909090903,0.13437280724513168
2025-09-15 16:20:00,7.421,9.859,6.311,2.3425,0.76625,2.322,7.863666666666667,23.080192477006456,0.0383333333333331,0.2425000000000001,0.76625,1,Running_High,211.54975000000002,212.147,206.0415,209.91275,1.6034634518755135,4.5851136363636416,6.477646052946802
2025-09-15 16:25:00,9.007,11.487,6.346,2.52275,0.77325,2.5915,8.946666666666667,28.737306107964155,1.0830000000000002,0.2694999999999998,0.77325,1,Running_High,211.44125,212.214,206.1395,209.93158333333335,1.5751280925431421,4.576553030303023,0.28847022352411034
2025-09-15 16:30:00,9.077,11.463,6.262,2.34025,0.76425,2.86,8.934,29.14089028353241,-0.0126666666666679,0.2684999999999999,0.76425,1,Running_High,211.57875,212.23675,205.74575,209.85375,1.7025249620684981,4.611931818181823,6.046539995476449
2025-09-15 16:35:00,7.551,9.857,6.13,2.15825,0.75575,3.11325,7.846,23.973118615293263,-1.0879999999999992,0.25325,0.75575,3,Running_Low,211.5335,212.03799999999998,205.392,209.6545,1.7648282569042582,4.702499999999994,0.23239979106371725
2025-09-15 17:05:00,7.528,9.509,6.474,2.183,0.733,4.5765,7.837,19.66204337062566,0.0089999999999994,0.2595,0.733,3,Running_Low,220.144,220.63975,216.03674999999998,218.94016666666667,1.1540234749809342,0.48174242424242275,0.21019880434265723
2025-09-15 17:10:00,9.077,11.276,6.456,2.53675,0.75225,4.8395,8.936333333333334,27.002987165906095,1.099333333333334,0.2629999999999999,0.75225,1,Running_High,219.28825,220.05450000000002,214.959,218.10058333333336,1.2597555457026233,0.8633712121211995,0.10628433080447727
2025-09-15 17:15:00,8.786,11.396,6.632,2.542,0.752,5.10675,8.938,26.690920863646117,0.0016666666666669,0.2672499999999997,0.752,1,Running_High,218.96175,220.47575,214.973,218.13683333333333,1.303131468751476,0.8468939393939418,0.0984385386912575
2025-09-15 17:20:00,7.25,9.666,6.6,2.26725,0.736,5.39275,7.838666666666666,20.60994518091423,-1.0993333333333348,0.2860000000000005,0.736,3,Running_Low,218.92525,220.643,214.8405,218.13625000000002,1.3664064723969866,0.8471590909090826,3.8589035453874696
2025-09-15 17:25:00,7.105,9.655,6.735,2.1725,0.7324999999999999,5.65425,7.831666666666666,20.300318059625805,-0.0069999999999996,0.2614999999999998,0.7324999999999999,3,Running_Low,218.417,220.8405,214.8395,218.03233333333333,1.3846278150352271,0.8943939393939424,0.2797018211115946
2025-09-15 18:05:00,7.178,9.582,6.673,2.47325,0.75075,7.6515,7.811,19.899842836559472,-0.0049999999999998,0.2582500000000003,0.75075,1,Running_High,219.439,221.77125,216.13299999999998,219.11441666666664,1.2929795382577884,0.4025378787878899,10.015948907106825
2025-09-15 18:10:00,8.618,11.28,6.712,2.58125,0.7545,7.938750000000001,8.87,25.866998359990095,1.0589999999999993,0.2872500000000002,0.7545,1,Running_High,218.515,221.1695,215.58325,218.42258333333334,1.2792960325431844,0.7170075757575748,1.9131107132041636
2025-09-15 18:15:00,7.171,9.61,6.625,2.349,0.7433333333333333,8.185,7.802,20.37163763112759,-1.0679999999999996,0.2462499999999998,0.7433333333333333,1,Running_High,218.48933333333332,220.816,215.37966666666668,218.22833333333335,1.2498599291050445,0.8053030303030213,6.679232751740881
2025-09-15 18:20:00,7.435,9.688,6.902,2.218,0.7375,8.41775,8.008333333333335,18.466325895681244,0.206333333333335,0.2327499999999993,0.7375,3,Running_Low,218.828,221.225,215.63025,218.56108333333336,1.2842676920241953,0.6540530303030194,0.8036102419492349
2025-09-15 18:25:00,7.554,9.765,6.975,2.33675,0.7495,8.658249999999999,8.098,18.18233113379883,0.0896666666666661,0.240499999999999,0.7495,3,Running_Low,218.61950000000002,221.13375,215.708,218.48708333333332,1.2427726257532532,0.6876893939394015,1.7067821823438716
2025-09-15 18:30:00,11.412,14.37,11.082,3.45125,0.78225,8.98325,12.288000000000002,14.734690722483984,4.190000000000001,0.325000000000001,0.78225,1,Running_High,217.928,220.155,215.22875,217.77058333333332,1.132795221953808,1.013371212121218,5.053420314266592
2025-09-15 18:35:00,7.273,9.572,6.687,2.885,0.74875,9.3055,7.844,19.440407583464165,-4.444000000000002,0.3222500000000003,0.74875,1,Running_High,218.59225,220.801,215.24275,218.212,1.2824992159945046,0.8127272727272776,23.057222404997066
2025-09-15 18:40:00,7.116,9.738,6.748,2.1792499999999997,0.7355,9.6375,7.867333333333334,20.72443606462508,0.0233333333333334,0.3319999999999989,0.7355,1,Running_High,217.5165,220.01999999999998,213.87925,217.13858333333334,1.4220269443969469,1.3006439393939346,0.13787550317779199
2025-09-15 18:45:00,15.399,19.729,15.497,4.3025,0.78225,9.97825,16.875,14.649612831206577,9.007666666666664,0.3407499999999999,0.78225,1,Running_High,216.77625,219.4485,212.7775,216.33408333333333,1.5519555385961492,1.6663257575757613,14.961930849106563
2025-09-15 18:50:00,7.099,9.784,6.794,2.897,0.7495,10.32375,7.892333333333334,20.846991423341404,-8.982666666666667,0.3455000000000012,0.7495,1,Running_High,218.50475,221.3935,214.61825,218.17216666666664,1.5583322960666717,0.8308333333333451,22.840654803474795
2025-09-15 18:55:00,7.03,9.806,6.795,2.36175,0.74125,10.65775,7.877,21.260506799409388,-0.0153333333333343,0.3339999999999996,0.74125,1,Running_High,217.99475,221.0765,214.416,217.82908333333333,1.5302543570070226,0.9867803030303048,6.724385456243717
2025-09-15 19:00:00,8.602,11.507,6.793,2.54525,0.74925,10.936,8.967333333333334,26.520036795795633,1.0903333333333345,0.2782499999999999,0.74925,1,Running_High,218.743,221.81075,215.048,218.53391666666667,1.5495167702004509,0.6664015151515137,0.0830667116672897
2025-09-15 19:05:00,8.511,11.433,6.905,2.36525,0.737,11.23125,8.949666666666667,25.650696471816353,-0.0176666666666669,0.2952499999999993,0.737,1,Running_High,219.46925,222.56575,216.197,219.41066666666666,1.451515181325881,0.26787878787879227,5.977985829641287
