cnc_tool_name,cnc_tool_layer,runs,models,functional_success_rate,expected_system_tool_call_rate,avg_duration_s,avg_benchmark_duration_s,avg_first_response_s,avg_loop_count,avg_tool_call_count,avg_tool_output_count,avg_system_tool_call_count,avg_system_tool_duration_s,avg_thinking_event_count,avg_thinking_duration_s,avg_thinking_chars,avg_answer_chars,avg_estimated_prompt_tokens,avg_estimated_answer_tokens,avg_estimated_thinking_tokens,avg_estimated_total_text_tokens
check_anomaly,application,10,10,0.5,0.5,29.325,29.323,12.979,1.5,0.5,0.5,0.5,1.061,206.4,18.008,736.4,143.5,180.0,36.0,184.3,400.3
data_status,data,10,10,0.5,0.5,74.086,74.083,7.493,1.5,0.5,0.5,0.5,1.224,245.3,33.282,773.1,54.0,151.0,13.6,193.5,358.1
forecast_future,application,10,10,0.5,0.5,25.586,25.583,9.118,1.5,0.5,0.5,0.5,1.5,185.7,15.046,707.0,147.6,175.0,37.1,177.2,389.3
run_all,workflow,10,10,0.5,0.5,71.938,71.935,56.874,1.5,0.5,0.5,0.5,44.432,132.1,49.769,513.1,165.9,156.0,41.6,128.6,326.2
run_state_analysis,training_application,10,10,0.5,0.5,36.651,36.649,14.923,1.5,0.5,0.5,0.5,2.455,177.7,20.363,575.9,126.0,189.0,31.7,144.4,365.1
train_anomaly_detection,training,10,10,0.5,0.5,36.304,36.301,19.632,1.5,0.5,0.5,0.5,4.064,239.4,23.584,927.8,195.7,166.0,49.1,232.3,447.4
train_forecast,training,10,10,0.5,0.5,37.076,37.074,18.808,1.5,0.5,0.5,0.5,1.158,221.6,24.782,834.4,203.3,183.0,51.1,208.9,443.0
update_data,data,10,10,0.4,0.5,28.182,28.18,14.642,1.6,0.6,0.6,0.6,1.418,181.9,20.598,670.0,39.2,174.0,9.9,167.8,351.7
