run_id,model_source,model_deployment,model_name,model_label,case_id,cnc_mcp_tool_name,cnc_tool_layer,session_id,status,functional_success,expected_tool_called,tool_output_status_ok,tool_output_error_detected,tool_input_events,tool_output_events,event_count,duration_ms_client,answer_chars,tool_output_chars,estimated_answer_tokens,estimated_tool_output_tokens,error,answer_preview,tool_input_preview,tool_output_preview
20260525_165836,B,Local,nemotron-cascade-2:latest,nemotron-cascade-2:latest (Local),tool_data_status,tool_data_status,data,46b505b0-c7d0-4990-96a9-8dd38fe4a063,success,True,True,True,False,1,1,419,31928,0,2632,0,658,,,"Tool: tool_data_status
Input: {}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""data status loaded"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/raw"",\n  ""key_files"": {},\n  ""metrics"": {\n    ""sensors"": [\n      {\n        ""sensor"": ""Current_A"",\n        ""exists"": true,\n        ""rows"": 59677,\n        ""start"": ""2025-09-15 15:21:00"",\n        ""end"": ""2026-05-25 17:13:28""\n      },\n      {\n        ""sensor"": ""Current_B"",\n        ""exists"": true,\n        ""rows"": 59259,\n        ""start"": ""2025-09-15 15:21:00"",\n        ""end"": ""2026-05-24 06:23:27""\n      },\n      {\n        ""sensor"": ""Current_C"",\n        ""exists"": true,\n        ""rows"": 59260,\n        "
20260525_165836,B,Local,nemotron-cascade-2:latest,nemotron-cascade-2:latest (Local),tool_update_data,tool_update_data,data,b433ff76-4f56-45ba-81c1-12682a7dd505,success,True,True,True,False,1,1,208,9160,0,342,0,86,,,"Tool: tool_update_data
Input: {""sensors"":""Current_A""}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""data update finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/raw"",\n  ""key_files"": {},\n  ""metrics"": {\n    ""Current_A"": {\n      ""added"": 2,\n      ""latest"": ""2026-05-25 17:23:28""\n    }\n  },\n  ""artifacts"": []\n}'}]"
20260525_165836,B,Local,nemotron-cascade-2:latest,nemotron-cascade-2:latest (Local),tool_run_state_analysis,tool_run_state_analysis,state,dcb9b277-2c7e-4039-b8c8-71e0c72d0fe5,success,True,True,True,False,1,1,275,16527,0,17952,0,4488,,,"Tool: tool_run_state_analysis
Input: {""start"":""2026-05-01 00:00:00"",""end"":""2026-05-02 00:00:00""}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""GMM state analysis finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/state"",\n  ""key_files"": {\n    ""state_labeled_csv"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/state/state_labeled.csv"",\n    ""processed_state_labeled_csv"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/processed/state_labeled.csv"",\n    ""state_report"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/state/state_report.txt"",\n    ""state_timeline"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis"
20260525_165836,B,Local,nemotron-cascade-2:latest,nemotron-cascade-2:latest (Local),tool_train_forecast,tool_train_forecast,training,ffcd1690-fd36-4197-ae18-52d7ece04da6,success,True,True,True,False,1,1,268,11431,0,3360,0,840,,,"Tool: tool_train_forecast
Input: {""target"":""dy"",""models"":""BaselineLastWeek"",""months_back"":1}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""forecast training finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast"",\n  ""key_files"": {\n    ""metrics"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast/training/dy/forecast_metrics.json"",\n    ""training_data_profile"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast/training/dy/training_data_profile.json"",\n    ""training_input_y"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast/training/dy/training_input_y.png"",\n    ""training_input_dy"": ""/Users/cody2"
20260525_165836,B,Local,nemotron-cascade-2:latest,nemotron-cascade-2:latest (Local),tool_forecast_future,tool_forecast_future,forecast,5a62de5a-e3d6-43bc-8f7b-0be781750dbb,success,True,True,True,False,1,1,422,13483,0,1170,0,292,,,"Tool: tool_forecast_future
Input: {""days"":""7"",""model_names"":""Prophet""}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""future forecast finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast"",\n  ""key_files"": {\n    ""report"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast/application/dy/future_forecast_report.json"",\n    ""future_forecast"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast/application/dy/future_forecast.png"",\n    ""run_summary"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/forecast/forecast_future_dy_run_summary.json"",\n    ""application_dir"": ""/Users/cody20179/Des"
20260525_165836,B,Local,nemotron-cascade-2:latest,nemotron-cascade-2:latest (Local),tool_train_anomaly_detection,tool_train_anomaly_detection,training,56c19189-2403-4e08-97fc-179909ec1b3d,success,True,True,True,False,1,1,420,19492,0,7876,0,1969,,,"Tool: tool_train_anomaly_detection
Input: {}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""anomaly detection training finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly"",\n  ""key_files"": {\n    ""features"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/processed/detection_features.csv"",\n    ""metrics"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly/anomaly_metrics.json"",\n    ""metrics_table"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly/tables/model_metrics.csv"",\n    ""synthetic_validation_predictions"": ""/Users/cody20179/Desktop/Code/Git_My_Project/C"
20260525_165836,B,Local,nemotron-cascade-2:latest,nemotron-cascade-2:latest (Local),tool_check_anomaly,tool_check_anomaly,anomaly,284ac9eb-30ac-4fe8-b582-8862b7cce188,success,True,True,True,False,1,1,325,12232,0,2201,0,550,,,"Tool: tool_check_anomaly
Input: {""start"":""2026-05-01 00:00:00"",""end"":""2026-05-02 00:00:00"",""min_models"":2}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""anomaly check finished"",\n  ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly"",\n  ""key_files"": {\n    ""detail_csv"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly/last_anomaly_check.csv"",\n    ""timeline_plot"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly/plots/last_anomaly_check_timeline.png"",\n    ""score_plot"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/outputs/anomaly/plots/last_anomaly_check_scores.png"",\n    ""vote_plot"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cod"
20260525_165836,B,Local,nemotron-cascade-2:latest,nemotron-cascade-2:latest (Local),tool_run_all,tool_run_all,workflow,cc342a46-47e1-4d85-aaa4-7912d3a235e6,success,True,True,True,False,1,1,287,108287,0,36506,0,9126,,,"Tool: tool_run_all
Input: {}","[{'type': 'input_text', 'text': '{\n  ""status"": ""ok"",\n  ""summary"": ""full pipeline finished"",\n  ""output_folder"": ""."",\n  ""key_files"": {},\n  ""metrics"": {\n    ""data_status"": {\n      ""status"": ""ok"",\n      ""summary"": ""data status loaded"",\n      ""output_folder"": ""/Users/cody20179/Desktop/Code/Git_My_Project/Cody-s_Agent_Analysis/data/raw"",\n      ""key_files"": {},\n      ""metrics"": {\n        ""sensors"": [\n          {\n            ""sensor"": ""Current_A"",\n            ""exists"": true,\n            ""rows"": 59679,\n            ""start"": ""2025-09-15 15:21:00"",\n            ""end"": ""2026-05-25 17:23:28""\n          },\n          {\n            ""sensor"": ""Current_B"",\n            ""exists"": true,\n     "
