ds,yhat
2026-05-11 22:55:00,7711.107461797318
2026-05-11 22:56:00,7711.110872997693
2026-05-11 22:57:00,7711.11423413024
2026-05-11 22:58:00,7711.117545728326
2026-05-11 22:59:00,7711.120808329487
2026-05-11 23:00:00,7711.124022475332
2026-05-11 23:01:00,7711.127188711455
2026-05-11 23:02:00,7711.130307587339
2026-05-11 23:03:00,7711.133379656257
2026-05-11 23:04:00,7711.136405475176
2026-05-11 23:05:00,7711.139385604658
2026-05-11 23:06:00,7711.142320608756
2026-05-11 23:07:00,7711.145211054907
2026-05-11 23:08:00,7711.148057513835
2026-05-11 23:09:00,7711.150860559434
2026-05-11 23:10:00,7711.153620768661
2026-05-11 23:11:00,7711.156338721431
2026-05-11 23:12:00,7711.159015000496
2026-05-11 23:13:00,7711.161650191335
2026-05-11 23:14:00,7711.164244882037
2026-05-11 23:15:00,7711.166799663183
2026-05-11 23:16:00,7711.169315127729
2026-05-11 23:17:00,7711.171791870879
2026-05-11 23:18:00,7711.174230489972
2026-05-11 23:19:00,7711.176631584348
2026-05-11 23:20:00,7711.178995755232
2026-05-11 23:21:00,7711.181323605602
2026-05-11 23:22:00,7711.183615740064
2026-05-11 23:23:00,7711.185872764718
2026-05-11 23:24:00,7711.188095287033
2026-05-11 23:25:00,7711.190283915714
2026-05-11 23:26:00,7711.192439260567
2026-05-11 23:27:00,7711.194561932366
2026-05-11 23:28:00,7711.19665254272
2026-05-11 23:29:00,7711.198711703931
2026-05-11 23:30:00,7711.200740028866
2026-05-11 23:31:00,7711.202738130808
2026-05-11 23:32:00,7711.204706623325
2026-05-11 23:33:00,7711.206646120128
2026-05-11 23:34:00,7711.208557234928
2026-05-11 23:35:00,7711.210440581294
2026-05-11 23:36:00,7711.2122967725145
2026-05-11 23:37:00,7711.214126421451
2026-05-11 23:38:00,7711.215930140394
2026-05-11 23:39:00,7711.217708540923
2026-05-11 23:40:00,7711.219462233755
2026-05-11 23:41:00,7711.2211918286
2026-05-11 23:42:00,7711.222897934023
2026-05-11 23:43:00,7711.2245811572875
2026-05-11 23:44:00,7711.226242104211
2026-05-11 23:45:00,7711.227881379025
2026-05-11 23:46:00,7711.229499584218
2026-05-11 23:47:00,7711.231097320391
2026-05-11 23:48:00,7711.232675186114
2026-05-11 23:49:00,7711.234233777771
2026-05-11 23:50:00,7711.235773689417
2026-05-11 23:51:00,7711.237295512629
2026-05-11 23:52:00,7711.238799836356
2026-05-11 23:53:00,7711.240287246771
2026-05-11 23:54:00,7711.241758327125
2026-05-11 23:55:00,7711.2432136576
2026-05-11 23:56:00,7711.244653815157
2026-05-11 23:57:00,7711.246079373393
2026-05-11 23:58:00,7711.247490902392
2026-05-11 23:59:00,7711.24888896858
2026-05-12 00:00:00,7711.250274134577
2026-05-12 00:01:00,7711.251646959053
2026-05-12 00:02:00,7711.253007996579
2026-05-12 00:03:00,7711.254357797489
2026-05-12 00:04:00,7711.255696907733
2026-05-12 00:05:00,7711.257025868729
2026-05-12 00:06:00,7711.258345217228
2026-05-12 00:07:00,7711.25965548517
2026-05-12 00:08:00,7711.260957199538
2026-05-12 00:09:00,7711.262250882226
2026-05-12 00:10:00,7711.263537049895
2026-05-12 00:11:00,7711.264816213835
2026-05-12 00:12:00,7711.266088879829
2026-05-12 00:13:00,7711.26735554802
2026-05-12 00:14:00,7711.2686167127695
2026-05-12 00:15:00,7711.26987286253
2026-05-12 00:16:00,7711.271124479709
2026-05-12 00:17:00,7711.27237204054
2026-05-12 00:18:00,7711.2736160149525
2026-05-12 00:19:00,7711.274856866443
2026-05-12 00:20:00,7711.276095051947
2026-05-12 00:21:00,7711.277331021717
2026-05-12 00:22:00,7711.278565219196
2026-05-12 00:23:00,7711.2797980808955
2026-05-12 00:24:00,7711.281030036276
2026-05-12 00:25:00,7711.282261507628
2026-05-12 00:26:00,7711.283492909952
2026-05-12 00:27:00,7711.284724650847
2026-05-12 00:28:00,7711.285957130395
2026-05-12 00:29:00,7711.287190741051
2026-05-12 00:30:00,7711.2884258675285
2026-05-12 00:31:00,7711.289662886697
2026-05-12 00:32:00,7711.290902167476
2026-05-12 00:33:00,7711.292144070724
2026-05-12 00:34:00,7711.293388949149
2026-05-12 00:35:00,7711.294637147195
2026-05-12 00:36:00,7711.295889000959
2026-05-12 00:37:00,7711.297144838082
2026-05-12 00:38:00,7711.298404977668
2026-05-12 00:39:00,7711.299669730186
2026-05-12 00:40:00,7711.300939397384
2026-05-12 00:41:00,7711.302214272204
2026-05-12 00:42:00,7711.303494638697
2026-05-12 00:43:00,7711.304780771945
2026-05-12 00:44:00,7711.306072937977
2026-05-12 00:45:00,7711.3073713937
2026-05-12 00:46:00,7711.308676386821
