time,state,I_mean,I_imbalance,dI_dt,Power,PF_abs,kVAh_rate,V_mean,V_imbalance,V_deviation,P_error,score_IsolationForest,is_anomaly_IsolationForest,score_OneClassSVM,is_anomaly_OneClassSVM,score_Autoencoder,is_anomaly_Autoencoder,n_models_flagged
2026-05-08 18:00:00,Running_Low,7.774666666666666,19.64152344645687,0.0063333333333321,2.129,0.713,0.2615000000005238,221.74008333333333,1.2399259569433876,0.7909469696969685,0.0001105724799754,-0.4071987874750822,False,5.243442809321342,False,-0.05697742595134923,False,0
2026-05-08 18:10:00,Running_Low,7.746,20.404401146473912,-0.0493333333333332,2.11775,0.7075,0.2569999999996071,222.41525,1.3414416526115187,1.0978409090909156,0.3093482472614994,-0.41588095884741905,False,5.204820154323583,False,-0.10089001012519186,False,0
2026-05-08 18:15:00,Running_Low,7.791333333333333,19.419285445881332,0.0453333333333336,2.13625,0.7092499999999999,0.2574999999997089,222.782,1.2290624744199348,1.2645454545454593,0.1840879202287858,-0.4066612752136719,False,5.406182532535162,False,-0.055885170510241056,False,0
2026-05-08 18:20:00,Running_Low,7.783,19.85047486946981,-0.0083333333333328,2.1315,0.7092499999999999,0.2579999999998108,222.41633333333337,1.309305584468092,1.098333333333337,0.2326717247816983,-0.4145918003632214,False,5.265325649106441,False,-0.08627275495344625,False,0
2026-05-08 18:25:00,Running_Low,7.77,19.962958199227423,-0.0130000000000007,2.1245000000000003,0.70975,0.253499999998894,222.49316666666664,1.2923115934405158,1.133257575757563,0.0338512336258736,-0.4141327886458731,False,5.2772135522139365,False,-0.07795113795576639,False,0
2026-05-08 18:30:00,Running_Low,7.756666666666667,19.59647614483684,-0.0133333333333327,2.12275,0.7084999999999999,0.2575000000015279,222.53975,1.2200176088240633,1.1544318181818174,0.2106125414203785,-0.4102194651246282,False,5.384112895025501,False,-0.04881713287213442,False,0
2026-05-08 18:35:00,Running_High,13.176666666666668,16.273593866290245,5.420000000000001,2.8287500000000003,0.6952499999999999,0.2857499999990978,222.21508333333335,1.172817129522102,1.00685606060607,24.64824031180465,-0.45612567113768926,False,6.2837772370027025,False,-0.07591058941898676,False,0
2026-05-08 18:40:00,Running_High,10.586666666666666,17.48611520824392,-2.5900000000000016,2.97375,0.7075,0.3742500000007567,221.67641666666668,1.3171808376371066,0.7620075757575829,3.2922346323240244,-0.4209815718899875,False,5.598667916423157,False,-0.23323952761820452,False,0
2026-05-08 18:45:00,Running_Low,11.619,16.04132192918473,1.0323333333333338,3.43625,0.751,0.3704999999990832,222.07416666666668,1.208569121524639,0.9428030303030384,2.325183428888877,-0.38492849236465587,False,5.9233140642903575,False,-0.11757658064685927,False,0
2026-05-08 18:50:00,Running_High,14.353666666666667,13.875147428859153,2.7346666666666675,3.55375,0.7435,0.386000000000422,222.49025000000003,1.1037799446333465,1.1319318181818323,15.72536733334598,-0.4012866211137462,False,6.655098991214423,False,-0.055168141466745625,False,0
2026-05-08 18:55:00,Running_Low,11.261666666666663,16.530173866889946,-3.0920000000000023,3.16225,0.7295,0.3782499999997526,222.45708333333337,1.1694864388381008,1.1168560606060651,0.1010492433611363,-0.3962534966258074,False,5.887507436953998,False,-0.12598281873838704,False,0
2026-05-08 19:00:00,Running_Low,11.17,15.530514634120127,-0.091666666666665,3.11875,0.72125,0.3824999999997089,222.9045,1.1197132734752278,1.3202272727272657,0.2672257776731544,-0.38733847380871095,False,5.933384966665294,False,-0.1268993097458207,False,0
2026-05-08 19:05:00,Running_High,14.404333333333334,14.262285152565388,3.2343333333333337,3.4855,0.7115,0.3707500000000436,222.3144166666667,1.1238663304872294,1.0520075757575853,13.222107467565824,-0.42190325040423343,False,6.380550696367626,False,-0.20737168060242867,False,0
2026-05-08 19:10:00,Running_High,14.506666666666666,14.830077341303028,0.1023333333333322,3.95425,0.718,0.4542500000006839,222.25841666666668,1.1730705156292929,1.0265530303030346,1.4020643435375266,-0.3988131543757923,False,5.777509353470803,False,-0.27084002865602563,False,0
2026-05-08 19:15:00,Running_High,14.110666666666669,15.271600703891314,-0.395999999999999,3.94575,0.7184999999999999,0.4582499999996798,222.09316666666663,1.1440650566879935,0.9514393939393916,1.1582186372520535,-0.40382876677312424,False,5.776163747683271,False,-0.2579545185042814,False,0
2026-05-08 19:20:00,Running_High,14.379,13.537725723674225,0.2683333333333326,3.9145,0.713,0.4575000000004365,223.1535,1.0476313719092891,1.4334090909090946,1.229302943825982,-0.3955740041546915,False,5.969853708924006,False,-0.22075298857226294,False,0
2026-05-08 19:25:00,Running_High,14.106333333333334,13.731609962663429,-0.2726666666666659,3.90125,0.7122499999999999,0.4580000000005384,223.04841666666667,0.999999600817032,1.38564393939394,0.5046943915078973,-0.4010320631051826,False,5.929593615561556,False,-0.2096252326385167,False,0
