scenario_id,category,runs,avg_total_score,avg_tool_score,avg_parameter_score,avg_fact_score,avg_duration_s,avg_tool_input_events,avg_answer_chars,pass_rate
S01_data_coverage,data_query,9,100.0,25.0,15.0,30.0,19.8,1.0,1264.667,1.0
S02_period_state_distribution,state_query,9,92.444,19.444,15.0,28.0,25.261,1.222,781.222,0.778
S03_period_utilization,state_query,9,95.0,22.222,13.889,28.889,29.845,2.778,694.889,0.889
S04_last_week_runtime,state_query,9,98.333,25.0,15.0,28.333,25.184,1.444,725.0,1.0
S05_this_week_status,state_query,9,88.056,22.222,15.0,20.833,27.556,1.778,969.0,0.889
S06_next_week_power,forecast,9,92.778,25.0,15.0,23.333,53.63,3.556,603.556,0.778
S07_next_month_cost,forecast,9,84.444,25.0,13.889,16.667,63.844,5.444,573.222,0.556
S08_period_anomaly,anomaly,9,100.0,25.0,15.0,30.0,18.299,1.222,497.889,1.0
