turn_index,turns,avg_total_score,avg_context_score,context_drift_rate,avg_duration_s
1,30,57.944,14.667,0.333,95.905
2,30,54.056,16.0,0.2,86.034
3,30,43.833,16.0,0.2,73.012
4,30,44.112,15.333,0.233,70.546
5,30,35.417,15.333,0.267,74.012
