model_name,model_source,group_id,user_id,name,description,created_at,session_count
qwen3.5:9b,B,43f84a39e0603ecf,Cody,cnc-tool-20260525_141703_19fa71b9-qwen3.5_9b,CNC tool validation for qwen3.5:9b; repeat=1,2026-05-25T14:17:03.865803,0
gemma4:31b,B,bb58d34d6a2687ac,Cody,cnc-tool-20260525_141703_19fa71b9-gemma4_31b,CNC tool validation for gemma4:31b; repeat=1,2026-05-25T14:21:07.466455,0
gemma4:26b,B,f6dc0f65d9302729,Cody,cnc-tool-20260525_141703_19fa71b9-gemma4_26b,CNC tool validation for gemma4:26b; repeat=1,2026-05-25T14:27:54.224257,0
gemma4:latest,B,5602d6e98cb5f302,Cody,cnc-tool-20260525_141703_19fa71b9-gemma4_latest,CNC tool validation for gemma4:latest; repeat=1,2026-05-25T14:32:01.504473,0
gpt-oss:20b,B,79b48ba74916a646,Cody,cnc-tool-20260525_141703_19fa71b9-gpt-oss_20b,CNC tool validation for gpt-oss:20b; repeat=1,2026-05-25T14:32:28.965216,0
qwen3:8b,B,8bea6bdd2921fc0a,Cody,cnc-tool-20260525_141703_19fa71b9-qwen3_8b,CNC tool validation for qwen3:8b; repeat=1,2026-05-25T14:34:54.359542,0
