turn_index,turns,avg_total_score,avg_context_score,context_drift_rate,avg_duration_s
1,9,83.611,20.0,0.0,33.651
2,9,74.444,17.778,0.111,30.273
3,9,69.629,20.0,0.0,26.627
4,9,61.112,17.778,0.111,13.478
5,9,56.389,18.889,0.111,17.803
